loc;unit size
|java+compilationUnit:///src/smallsql/database/SSStatement.java|(6599,836,<261,4>,<282,5>);22
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(69501,999,<1806,4>,<1832,5>);22
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(6592,677,<226,1>,<251,2>);22
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(5248,660,<170,1>,<195,2>);22
|java+compilationUnit:///src/smallsql/junit/TestOther.java|(10095,1423,<252,4>,<277,5>);22
|java+compilationUnit:///src/smallsql/database/DateTime.java|(2035,537,<57,1>,<78,2>);22
|java+compilationUnit:///src/smallsql/database/SSConnection.java|(4781,724,<144,4>,<165,5>);22
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(36420,1015,<1022,4>,<1051,5>);22
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(13853,995,<375,1>,<402,2>);21
|java+compilationUnit:///src/smallsql/junit/TestAlterTable.java|(2620,887,<72,4>,<92,5>);21
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(29088,522,<761,1>,<781,2>);21
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(3539,1055,<107,1>,<135,2>);21
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(2568,963,<79,1>,<104,2>);21
|java+compilationUnit:///src/smallsql/junit/TestAlterTable.java|(273,1048,<17,4>,<37,5>);21
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(14569,713,<545,1>,<569,2>);21
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(5584,1061,<166,1>,<194,2>);21
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(4576,664,<143,1>,<167,2>);21
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(4602,975,<138,1>,<163,2>);21
|java+compilationUnit:///src/smallsql/junit/TestAlterTable.java|(3525,885,<95,4>,<115,5>);21
|java+compilationUnit:///src/smallsql/database/Utils.java|(7476,875,<234,4>,<258,5>);21
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(4617,470,<140,1>,<160,2>);21
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(18046,850,<484,1>,<506,2>);21
|java+compilationUnit:///src/smallsql/database/CreateFile.java|(1966,697,<66,4>,<90,5>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(11277,655,<414,1>,<437,2>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(9182,647,<329,1>,<352,2>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(12629,645,<467,1>,<490,2>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(7278,654,<254,1>,<277,2>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(9837,610,<355,1>,<378,2>);20
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(16362,747,<492,1>,<511,5>);20
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(31049,997,<880,4>,<900,5>);20
|java+compilationUnit:///src/smallsql/database/Database.java|(11069,830,<316,4>,<341,5>);20
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(32984,911,<929,4>,<952,5>);20
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(36510,809,<898,1>,<917,2>);20
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(18002,826,<542,4>,<561,2>);20
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(10567,904,<315,4>,<335,5>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(8524,650,<303,1>,<326,2>);20
|java+compilationUnit:///src/smallsql/database/SortedResult.java|(3358,680,<121,4>,<140,5>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(13282,638,<493,1>,<516,2>);20
|java+compilationUnit:///src/smallsql/database/GroupResult.java|(7203,583,<202,1>,<226,2>);20
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(9418,591,<273,4>,<292,5>);20
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(13928,633,<519,1>,<542,2>);20
|java+compilationUnit:///src/smallsql/database/StorePageMap.java|(4963,774,<188,1>,<216,2>);19
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(14515,907,<512,4>,<533,5>);19
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(21520,900,<621,1>,<646,5>);19
|java+compilationUnit:///src/smallsql/database/Database.java|(7612,921,<229,4>,<247,5>);19
